Rank,Fragile States Index 2014,Stability Index,Demographic Pressures,Refugees and IDPs,Group Grievance,Human Flight,Uneven Development,Poverty and Economic Decline,Legitimacy of the State,Public Services,Human Rights,Security Apparatus,Factionalized Elites,External Intervention,Population,Land Area
5,Sudan,Alert,9,10,10,9,8,8,9,9,9,10,10,10,6,5
109,Suriname,Warning,6,3,6,7,7,7,6,5,5,6,6,6,3,4
51,Swaziland,Warning,9,5,4,7,8,9,9,8,8,6,7,8,3,3
177,Sweden,Sustainable,3,3,1,2,2,2,1,2,1,2,2,1,5,4
174,Switzerland,Sustainable,2,2,3,2,2,2,1,2,2,2,1,2,5,3
15,Syria,Alert,6,10,10,7,7,7,10,7,10,10,10,9,1,1
55,Tajikistan,Warning,7,5,7,6,6,8,9,6,8,7,8,7,5,4
65,Tanzania,Warning,9,7,6,7,7,7,6,9,6,5,6,8,7,4
80,Thailand,Warning,8,6,8,4,6,4,7,5,7,8,9,5,7,4
31,Timor-Leste,Alert,9,7,7,7,6,8,8,8,6,8,8,9,3,3
41,Togo,Warning,8,7,5,7,8,7,8,8,7,7,8,7,5,4
126,Trinidad,Warning,5,3,4,8,6,5,5,5,5,5,6,4,1,1
78,Tunisia,Warning,5,4,8,5,6,6,8,5,8,7,8,7,6,4
93,Turkey,Warning,5,7,9,4,6,5,6,5,6,7,7,5,7,4
74,Turkmenistan,Warning,6,4,7,5,7,5,10,6,8,7,8,5,5,4
22,Uganda,Alert,9,9,8,7,8,7,8,8,8,8,9,8,6,4
113,Ukraine,Warning,4,3,6,5,5,5,8,4,6,5,8,6,6,4
143,United Arab Emirates,Stable,4,2,4,3,4,3,7,3,6,3,4,3,5,4
161,United Kingdom,Stable,3,3,5,2,3,4,2,2,2,3,3,1,7,4
159,United States,Stable,3,2,4,1,4,3,2,2,3,3,4,1,7,6
155,Uruguay,Stable,4,2,3,4,4,3,2,4,2,3,3,3,4,4
48,Uzbekistan,Warning,6,6,7,7,7,7,9,5,9,8,9,5,6,4
83,Venezuela,Warning,5,5,7,5,7,5,8,7,8,6,8,5,1,1
98,Vietnam,Warning,6,5,6,5,6,6,8,5,8,5,7,5,7,4
8,Yemen,Alert,9,9,9,7,8,9,9,8,9,9,9,8,1,1
49,Zambia,Warning,9,7,6,8,8,8,8,8,7,5,6,7,6,4
11,Zimbabwe,Alert,9,8,8,8,8,8,9,9,9,8,10,8,6,4
